## System ID,Tag Name,Retentive Mode,Initial Value,MODBUS Start Address,MODBUS End Address,Number of Characters,Number of Rows,Number of Columns,Wiring Label,Comment,Forceable,Init Forced,Init Force Value,Remote Access,I/O Address,Data Type,Structure Type,BOW Details
## 3.0
C-000002,"1 Hour bit",false,"0",,,,,,,,false,false,"0",false,,"C",,false
SBR-001008,"1 Minute Bit",false,"0",,,,,,,"On for 30 seconds and Off for 30 seconds",,,,false,,"SBR",,false
C-000003,"1 Second bit",false,"0",,,,,,,,false,false,"0",false,,"C",,false
US8-000001,"1 Second tmr",false,"0",,,,,,,,false,false,"0",false,,"US8",,false
C-000042,"120v_OK",false,"0",,,,,,,,false,false,"0",false,,"C",,false
C-000057,"120v_Outlet_Allowed",false,"0",,,,,,,,false,false,"0",false,,"C",,false
SBR-001009,"2 Second Bit",false,"0",,,,,,,"On for 1 second and Off for 1 second",,,,false,,"SBR",,false
AIS32-0.1.4.1,"AIS32-0.1.4.1",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.4.1","AIS32",,false
AIS32-0.1.4.2,"AIS32-0.1.4.2",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.4.2","AIS32",,false
AIS32-0.1.4.3,"AIS32-0.1.4.3",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.4.3","AIS32",,false
AIS32-0.1.4.4,"AIS32-0.1.4.4",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.4.4","AIS32",,false
AOS32-0.1.4.1,"AOS32-0.1.4.1",false,"0",,,,,,,,false,false,"0",false,"AOS32-0.1.4.1","AOS32",,false
AOS32-0.1.4.2,"AOS32-0.1.4.2",false,"0",,,,,,,,false,false,"0",false,"AOS32-0.1.4.2","AOS32",,false
C-000177,"Air_Gun_Atomizer",false,"0",,,,,,,,false,false,"0",false,,"C",,false
C-000198,"Air_Gun_Atomizer_HMI",false,"0",,,,,,,,false,false,"0",false,,"C",,false
C-000212,"Air_Gun_Close",false,"0",,,,,,,,false,false,"0",false,,"C",,false
C-000178,"Air_Gun_Fan",false,"0",,,,,,,,false,false,"0",false,,"C",,false
C-000199,"Air_Gun_Fan_HMI",false,"0",,,,,,,,false,false,"0",false,,"C",,false
C-000179,"Air_Gun_Open",false,"0",,,,,,,,false,false,"0",false,,"C",,false
C-000197,"Air_Gun_Open_HMI",false,"0",,,,,,,,false,false,"0",false,,"C",,false
SBR-001002,"Always Off Bit",false,"0",,,,,,,"Always off",,,,false,,"SBR",,false
C-000049,"Always_On_Bit",false,"0",,,,,,,,false,false,"0",false,,"C",,false
F32-000012,"Approach_adj",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
SBR-001017,"Array out of range error",false,"0",,,,,,,"Active if an array index is outside the range of the array",,,,false,,"SBR",,false
SWR-001514,"Array range error rung location",false,"0",,,,,,,"Rung Number in which ""Array out of range error"" occurred",,,,false,,"SWR",,false
SWR-001513,"Array range error task location",false,"0",,,,,,,"Task Number in which ""Array out of range error"" occurred",,,,false,,"SWR",,false
SWR-001506,"Avg Logic Scan Time [x100=usec]",false,"0",,,,,,,"Average logic scan time",,,,false,,"SWR",,false
SWR-001503,"Avg Scan Interval [x100=usec]",false,"0",,,,,,,"Average overall scan time",,,,false,,"SWR",,false
F32-000001,"Backstop_Set",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
SBR-001006,"Battery Disabled",false,"0",,,,,,,"Active if the ""CPU Battery Alarm"" is disabled in H/W Configuration",,,,false,,"SBR",,false
SBR-001005,"Battery Low Bit",false,"0",,,,,,,"Active if the battery is weak (""CPU Battery Alarm"" in H/W Configuration)",,,,false,,"SBR",,false
SWR-001518,"Battery Voltage",false,"0",,,,,,,"Battery voltage in 10ths of a volt",,,,false,,"SWR",,false
C-000180,"Blow_Double",false,"0",,,,,,,,false,false,"0",false,,"C",,false
C-000196,"Blow_Double_HMI",false,"0",,,,,,,,false,false,"0",false,,"C",,false
C-000181,"Bottom_Slide_In",false,"0",,,,,,,,false,false,"0",false,,"C",,false
C-000192,"Bottom_Slide_In_HMI",false,"0",,,,,,,,false,false,"0",false,,"C",,false
SSTR-000041,"CPU Event Log String 01",false,,,,50,,,,"Most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000042,"CPU Event Log String 02",false,,,,50,,,,"2nd most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000043,"CPU Event Log String 03",false,,,,50,,,,"3rd most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000044,"CPU Event Log String 04",false,,,,50,,,,"4th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000045,"CPU Event Log String 05",false,,,,50,,,,"5th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000046,"CPU Event Log String 06",false,,,,50,,,,"6th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000047,"CPU Event Log String 07",false,,,,50,,,,"7th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000048,"CPU Event Log String 08",false,,,,50,,,,"8th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000049,"CPU Event Log String 09",false,,,,50,,,,"9th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000050,"CPU Event Log String 10",false,,,,50,,,,"10th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000051,"CPU Event Log String 11",false,,,,50,,,,"11th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000052,"CPU Event Log String 12",false,,,,50,,,,"12th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000053,"CPU Event Log String 13",false,,,,50,,,,"13th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000054,"CPU Event Log String 14",false,,,,50,,,,"14th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000055,"CPU Event Log String 15",false,,,,50,,,,"15th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000056,"CPU Event Log String 16",false,,,,50,,,,"16th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000057,"CPU Event Log String 17",false,,,,50,,,,"17th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000058,"CPU Event Log String 18",false,,,,50,,,,"18th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000059,"CPU Event Log String 19",false,,,,50,,,,"19th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000060,"CPU Event Log String 20",false,,,,50,,,,"20th most recent CPU event log message",,,,false,,"SSTR",,false
SSTR-000101,"CPU Model Name",false,,,,50,,,,"CPU Model (ex: ""P3-550"")",,,,false,,"SSTR",,false
SSTR-000102,"CPU Program File Name",false,,,,50,,,,"CPU program file name",,,,false,,"SSTR",,false
SBR-001001,"CPU in Run",false,"0",,,,,,,"Active during Run or Debug mode",,,,false,,"SBR",,false
SWR-001523,"Clock Day",false,"0",,,,,,,"Current Real Time Clock Calendar Day",,,,false,,"SWR",,false
SWRW-001754,"Clock Day Set",false,"0",,,,,,,"New Real Time Clock Day (set all 3 date values then set ""Initiate_New_Date"" on)",,,,false,,"SWRW",,false
SWR-001522,"Clock Day of Week",false,"0",,,,,,,"Current Real Time Clock Day of the week (1=Mon ...7=Sun)",,,,false,,"SWR",,false
SWR-001521,"Clock Hours",false,"0",,,,,,,"Current Real Time Clock Hours",,,,false,,"SWR",,false
SWRW-001753,"Clock Hours Set",false,"0",,,,,,,"New Real Time Clock Hours (set all 3 time values then set ""Initiate_New_Time"" on)",,,,false,,"SWRW",,false
SWR-001520,"Clock Minutes",false,"0",,,,,,,"Current Real Time Clock Minutes",,,,false,,"SWR",,false
SWRW-001752,"Clock Minutes Set",false,"0",,,,,,,"New Real Time Clock Minutes (set all 3 time values then set ""Initiate_New_Time"" on)",,,,false,,"SWRW",,false
